lesson_id,course_id,lesson_title,content,created_at
58,8,Lesson 58,Lesson content,2024-09-05T01:51:57
59,38,Lesson 59,Lesson content,2024-06-25T02:24:07
60,189,Lesson 60,Lesson content,2024-12-24T08:08:39
61,81,Lesson 61,Lesson content,2024-04-17T08:04:53
62,108,Lesson 62,Lesson content,2024-10-25T18:56:48
63,65,Lesson 63,Lesson content,2024-06-14T19:46:25
64,67,Lesson 64,Lesson content,2024-09-25T19:58:18
65,174,Lesson 65,Lesson content,2024-12-16T20:13:08
66,90,Lesson 66,Lesson content,2024-09-16T06:17:20
67,95,Lesson 67,Lesson content,2024-10-25T23:48:23
68,72,Lesson 68,Lesson content,2024-10-26T02:02:06
69,43,Lesson 69,Lesson content,2024-05-05T14:20:41
70,187,Lesson 70,Lesson content,2024-04-09T22:33:03
71,46,Lesson 71,Lesson content,2024-03-03T21:37:58
72,200,Lesson 72,Lesson content,2024-10-30T04:56:35
73,125,Lesson 73,Lesson content,2024-01-29T17:42:09
74,163,Lesson 74,Lesson content,2024-04-17T16:30:23
75,39,Lesson 75,Lesson content,2024-10-28T19:09:08
76,51,Lesson 76,Lesson content,2024-01-25T05:29:33
77,4,Lesson 77,Lesson content,2024-05-28T15:56:43
78,121,Lesson 78,Lesson content,2024-05-30T21:55:31
79,80,Lesson 79,Lesson content,2024-05-09T04:34:00
80,77,Lesson 80,Lesson content,2024-01-24T07:47:13
81,179,Lesson 81,Lesson content,2024-04-10T06:57:29
82,133,Lesson 82,Lesson content,2024-11-11T15:51:11
83,55,Lesson 83,Lesson content,2024-04-12T18:51:18
84,20,Lesson 84,Lesson content,2024-03-10T02:25:22
85,152,Lesson 85,Lesson content,2024-06-20T02:27:18
86,164,Lesson 86,Lesson content,2024-01-27T22:50:26
87,34,Lesson 87,Lesson content,2024-07-09T23:10:45
88,122,Lesson 88,Lesson content,2024-12-26T15:03:05
89,109,Lesson 89,Lesson content,2024-03-18T22:22:18
90,126,Lesson 90,Lesson content,2024-08-25T00:25:33
91,54,Lesson 91,Lesson content,2024-06-01T11:37:05
92,162,Lesson 92,Lesson content,2024-03-10T07:12:05
93,145,Lesson 93,Lesson content,2024-09-07T16:20:21
94,133,Lesson 94,Lesson content,2024-07-10T02:18:23
95,89,Lesson 95,Lesson content,2024-02-12T02:38:42
96,146,Lesson 96,Lesson content,2024-02-25T20:59:23
97,183,Lesson 97,Lesson content,2024-07-28T23:03:24
98,53,Lesson 98,Lesson content,2024-10-25T12:52:17
99,50,Lesson 99,Lesson content,2024-06-16T11:34:28
100,72,Lesson 100,Lesson content,2024-03-25T19:30:34
101,173,Lesson 101,Lesson content,2024-08-26T10:34:50
102,141,Lesson 102,Lesson content,2024-09-06T20:20:46
103,16,Lesson 103,Lesson content,2024-02-11T06:19:08
104,13,Lesson 104,Lesson content,2024-12-20T10:08:04
105,20,Lesson 105,Lesson content,2024-06-20T11:50:23
106,66,Lesson 106,Lesson content,2024-10-04T20:00:51
107,47,Lesson 107,Lesson content,2024-04-10T14:01:12
108,147,Lesson 108,Lesson content,2024-02-10T02:42:20
109,173,Lesson 109,Lesson content,2024-01-14T12:55:37
110,165,Lesson 110,Lesson content,2024-01-29T07:39:32
111,122,Lesson 111,Lesson content,2024-01-28T08:17:25
112,54,Lesson 112,Lesson content,2024-08-09T21:19:02
113,6,Lesson 113,Lesson content,2024-10-09T13:12:44
114,14,Lesson 114,Lesson content,2024-04-07T07:43:38
115,132,Lesson 115,Lesson content,2024-10-28T20:22:31
116,86,Lesson 116,Lesson content,2024-06-22T03:55:19
117,183,Lesson 117,Lesson content,2024-01-08T06:54:01
118,162,Lesson 118,Lesson content,2024-12-14T04:06:04
119,27,Lesson 119,Lesson content,2024-07-12T06:54:47
120,7,Lesson 120,Lesson content,2024-02-27T19:25:20
121,131,Lesson 121,Lesson content,2024-09-10T13:08:45
122,175,Lesson 122,Lesson content,2024-09-05T16:21:26
123,2,Lesson 123,Lesson content,2024-01-01T08:05:13
124,80,Lesson 124,Lesson content,2024-12-28T07:11:59
125,153,Lesson 125,Lesson content,2024-01-15T16:39:13
126,60,Lesson 126,Lesson content,2024-09-15T02:34:31
127,24,Lesson 127,Lesson content,2024-05-31T15:34:22
128,15,Lesson 128,Lesson content,2024-04-13T11:22:04
129,95,Lesson 129,Lesson content,2024-02-28T21:05:02
130,142,Lesson 130,Lesson content,2024-09-28T20:59:14
131,182,Lesson 131,Lesson content,2024-05-08T02:14:47
132,134,Lesson 132,Lesson content,2024-12-17T07:38:47
133,81,Lesson 133,Lesson content,2024-05-31T23:27:48
134,18,Lesson 134,Lesson content,2024-08-11T04:02:07
135,20,Lesson 135,Lesson content,2024-01-02T10:31:17
136,115,Lesson 136,Lesson content,2024-07-19T03:43:03
137,190,Lesson 137,Lesson content,2024-10-01T19:21:45
138,40,Lesson 138,Lesson content,2024-10-26T10:09:12
139,39,Lesson 139,Lesson content,2024-07-09T13:27:50
140,180,Lesson 140,Lesson content,2024-07-04T16:34:56
141,32,Lesson 141,Lesson content,2024-06-18T08:21:07
142,124,Lesson 142,Lesson content,2024-06-05T20:44:22
143,108,Lesson 143,Lesson content,2024-11-23T19:06:29
144,27,Lesson 144,Lesson content,2024-10-09T15:17:02
145,110,Lesson 145,Lesson content,2024-10-30T06:51:38
146,180,Lesson 146,Lesson content,2024-11-11T10:57:28
147,97,Lesson 147,Lesson content,2024-11-01T00:17:17
148,191,Lesson 148,Lesson content,2024-01-28T05:22:35
149,74,Lesson 149,Lesson content,2024-07-28T18:21:52
150,191,Lesson 150,Lesson content,2024-03-28T17:02:42
151,17,Lesson 151,Lesson content,2024-01-02T06:49:36
152,49,Lesson 152,Lesson content,2024-05-29T07:05:24
153,81,Lesson 153,Lesson content,2024-09-24T16:22:51
154,116,Lesson 154,Lesson content,2024-11-13T16:05:42
155,23,Lesson 155,Lesson content,2024-10-29T20:32:28
156,98,Lesson 156,Lesson content,2024-07-06T05:11:02
157,72,Lesson 157,Lesson content,2024-02-17T01:41:59
158,141,Lesson 158,Lesson content,2024-08-08T07:05:46
159,151,Lesson 159,Lesson content,2024-07-26T21:23:44
160,57,Lesson 160,Lesson content,2024-12-29T03:13:29
161,190,Lesson 161,Lesson content,2024-05-19T09:21:40
162,182,Lesson 162,Lesson content,2024-05-09T11:53:00
163,148,Lesson 163,Lesson content,2024-09-21T19:10:10
164,86,Lesson 164,Lesson content,2024-04-27T14:33:44
165,180,Lesson 165,Lesson content,2024-06-04T14:00:02
166,23,Lesson 166,Lesson content,2024-01-22T10:27:05
167,105,Lesson 167,Lesson content,2024-09-02T13:12:25
168,163,Lesson 168,Lesson content,2024-09-08T07:10:14
169,67,Lesson 169,Lesson content,2024-02-05T05:04:38
170,34,Lesson 170,Lesson content,2024-05-21T21:21:31
171,33,Lesson 171,Lesson content,2024-07-26T15:04:41
172,46,Lesson 172,Lesson content,2024-11-27T09:43:28
173,81,Lesson 173,Lesson content,2024-05-12T01:36:53
174,173,Lesson 174,Lesson content,2024-02-01T05:54:41
175,147,Lesson 175,Lesson content,2024-11-22T16:22:50
176,87,Lesson 176,Lesson content,2024-06-27T12:08:57
177,15,Lesson 177,Lesson content,2024-10-22T07:56:11
178,123,Lesson 178,Lesson content,2024-10-24T16:22:23
179,121,Lesson 179,Lesson content,2024-04-22T14:36:38
180,78,Lesson 180,Lesson content,2024-09-08T13:51:51
181,66,Lesson 181,Lesson content,2024-03-19T21:13:12
182,39,Lesson 182,Lesson content,2024-03-09T14:12:06
183,18,Lesson 183,Lesson content,2024-08-03T08:05:09
184,198,Lesson 184,Lesson content,2024-01-16T06:35:35
185,187,Lesson 185,Lesson content,2024-05-29T04:39:53
186,160,Lesson 186,Lesson content,2024-09-13T14:29:17
187,21,Lesson 187,Lesson content,2024-03-15T04:16:42
188,168,Lesson 188,Lesson content,2024-04-26T01:40:24
189,27,Lesson 189,Lesson content,2024-09-27T06:05:34
190,2,Lesson 190,Lesson content,2024-05-31T12:02:22
191,97,Lesson 191,Lesson content,2024-12-14T03:37:09
192,39,Lesson 192,Lesson content,2024-02-11T11:09:00
193,56,Lesson 193,Lesson content,2024-09-01T21:46:37
194,107,Lesson 194,Lesson content,2024-09-24T12:28:41
195,127,Lesson 195,Lesson content,2024-05-19T12:33:22
196,13,Lesson 196,Lesson content,2024-07-07T22:32:30
197,126,Lesson 197,Lesson content,2024-02-02T22:58:32
198,184,Lesson 198,Lesson content,2024-12-09T18:47:38
199,194,Lesson 199,Lesson content,2024-09-02T18:02:31
200,56,Lesson 200,Lesson content,2024-06-19T02:18:15
201,28,Lesson 201,Lesson content,2024-10-12T13:43:05
202,64,Lesson 202,Lesson content,2024-03-14T13:56:13
203,71,Lesson 203,Lesson content,2024-02-24T08:21:46
204,192,Lesson 204,Lesson content,2024-01-14T20:43:55
205,184,Lesson 205,Lesson content,2024-03-15T23:45:16
206,169,Lesson 206,Lesson content,2024-01-10T20:24:54
207,119,Lesson 207,Lesson content,2024-10-06T12:27:14
208,100,Lesson 208,Lesson content,2024-08-18T06:39:07
209,41,Lesson 209,Lesson content,2024-04-02T14:50:33
210,4,Lesson 210,Lesson content,2024-07-08T23:58:40
211,185,Lesson 211,Lesson content,2024-05-30T23:34:33
212,158,Lesson 212,Lesson content,2024-01-25T11:08:01
213,88,Lesson 213,Lesson content,2024-11-03T20:51:52
214,84,Lesson 214,Lesson content,2024-07-28T22:18:36
215,46,Lesson 215,Lesson content,2024-09-06T20:59:37
216,184,Lesson 216,Lesson content,2024-04-29T12:15:34
217,159,Lesson 217,Lesson content,2024-07-13T01:23:37
218,88,Lesson 218,Lesson content,2024-07-26T08:40:54
219,7,Lesson 219,Lesson content,2024-11-19T23:46:34
220,77,Lesson 220,Lesson content,2024-11-11T06:19:12
221,182,Lesson 221,Lesson content,2024-06-23T11:50:50
222,136,Lesson 222,Lesson content,2024-01-07T09:01:46
223,183,Lesson 223,Lesson content,2024-01-15T09:15:46
224,197,Lesson 224,Lesson content,2024-05-11T18:21:59
225,172,Lesson 225,Lesson content,2024-01-22T18:27:55
226,141,Lesson 226,Lesson content,2024-05-11T03:45:55
227,93,Lesson 227,Lesson content,2024-11-01T22:37:41
228,20,Lesson 228,Lesson content,2024-10-07T00:19:07
229,78,Lesson 229,Lesson content,2024-01-17T15:03:37
230,160,Lesson 230,Lesson content,2024-06-06T11:36:25
231,188,Lesson 231,Lesson content,2024-02-15T21:35:01
232,178,Lesson 232,Lesson content,2024-03-23T04:59:00
233,27,Lesson 233,Lesson content,2024-11-09T10:45:06
234,120,Lesson 234,Lesson content,2024-09-10T22:19:23
235,25,Lesson 235,Lesson content,2024-09-16T03:50:23
236,52,Lesson 236,Lesson content,2024-07-22T03:49:42
237,196,Lesson 237,Lesson content,2024-06-27T00:19:17
238,21,Lesson 238,Lesson content,2024-09-20T08:08:36
239,18,Lesson 239,Lesson content,2024-12-03T22:51:07
240,39,Lesson 240,Lesson content,2024-12-05T12:39:03
241,15,Lesson 241,Lesson content,2024-07-27T09:06:52
242,53,Lesson 242,Lesson content,2024-02-27T20:20:54
243,38,Lesson 243,Lesson content,2024-10-14T19:06:02
244,176,Lesson 244,Lesson content,2024-08-12T23:53:36
245,52,Lesson 245,Lesson content,2024-03-31T11:35:01
246,72,Lesson 246,Lesson content,2024-12-25T03:54:29
247,28,Lesson 247,Lesson content,2024-01-28T23:24:02
248,144,Lesson 248,Lesson content,2024-01-15T07:43:29
249,118,Lesson 249,Lesson content,2024-10-12T14:58:53
250,144,Lesson 250,Lesson content,2024-02-24T23:43:07
251,35,Lesson 251,Lesson content,2024-07-08T20:49:44
252,145,Lesson 252,Lesson content,2024-09-10T22:09:05
253,99,Lesson 253,Lesson content,2024-01-08T09:40:48
254,52,Lesson 254,Lesson content,2024-07-02T00:05:07
255,140,Lesson 255,Lesson content,2024-12-18T07:31:11
256,83,Lesson 256,Lesson content,2024-12-22T12:33:28
257,48,Lesson 257,Lesson content,2024-08-28T03:38:44
258,22,Lesson 258,Lesson content,2024-01-18T18:54:09
259,123,Lesson 259,Lesson content,2024-04-04T05:57:55
260,127,Lesson 260,Lesson content,2024-09-29T08:33:36
261,177,Lesson 261,Lesson content,2024-09-08T23:07:39
262,52,Lesson 262,Lesson content,2024-02-20T16:41:59
263,79,Lesson 263,Lesson content,2024-01-06T13:53:36
264,129,Lesson 264,Lesson content,2024-03-07T21:28:37
265,66,Lesson 265,Lesson content,2024-09-02T16:49:55
266,64,Lesson 266,Lesson content,2024-01-20T09:38:32
267,8,Lesson 267,Lesson content,2024-12-17T08:03:51
268,25,Lesson 268,Lesson content,2024-04-29T08:35:29
269,194,Lesson 269,Lesson content,2024-11-14T17:50:38
270,198,Lesson 270,Lesson content,2024-11-04T05:47:35
271,94,Lesson 271,Lesson content,2024-02-07T18:49:45
272,179,Lesson 272,Lesson content,2024-06-26T03:56:54
273,181,Lesson 273,Lesson content,2024-08-25T09:02:17
274,15,Lesson 274,Lesson content,2024-03-07T06:56:25
275,178,Lesson 275,Lesson content,2024-11-20T10:02:47
276,199,Lesson 276,Lesson content,2024-08-17T12:54:55
277,122,Lesson 277,Lesson content,2024-01-25T20:07:41
278,75,Lesson 278,Lesson content,2024-11-13T14:27:00
279,104,Lesson 279,Lesson content,2024-11-13T11:22:34
280,38,Lesson 280,Lesson content,2024-02-11T07:04:43
281,168,Lesson 281,Lesson content,2024-02-14T08:13:54
282,194,Lesson 282,Lesson content,2024-07-12T01:42:47
283,115,Lesson 283,Lesson content,2024-08-19T01:35:28
284,39,Lesson 284,Lesson content,2024-11-06T08:51:10
285,108,Lesson 285,Lesson content,2024-08-27T02:04:25
286,17,Lesson 286,Lesson content,2024-03-26T15:53:05
287,135,Lesson 287,Lesson content,2024-01-25T12:13:43
288,118,Lesson 288,Lesson content,2024-11-08T10:03:01
289,39,Lesson 289,Lesson content,2024-03-19T16:45:08
290,196,Lesson 290,Lesson content,2024-06-14T12:34:43
291,35,Lesson 291,Lesson content,2024-05-11T00:15:56
292,51,Lesson 292,Lesson content,2024-11-11T03:55:27
293,47,Lesson 293,Lesson content,2024-11-20T15:06:53
294,36,Lesson 294,Lesson content,2024-10-13T13:59:28
295,64,Lesson 295,Lesson content,2024-09-20T11:07:34
296,95,Lesson 296,Lesson content,2024-06-05T02:59:30
297,105,Lesson 297,Lesson content,2024-05-05T22:05:19
298,13,Lesson 298,Lesson content,2024-02-16T21:57:37
299,146,Lesson 299,Lesson content,2024-09-22T16:09:57
300,149,Lesson 300,Lesson content,2024-08-11T16:24:05
301,112,Lesson 301,Lesson content,2024-07-31T00:00:54
302,65,Lesson 302,Lesson content,2024-02-23T08:00:10
303,8,Lesson 303,Lesson content,2024-05-04T21:26:05
304,48,Lesson 304,Lesson content,2024-11-20T20:03:55
305,85,Lesson 305,Lesson content,2024-11-04T00:14:36
306,43,Lesson 306,Lesson content,2024-03-23T19:27:53
307,181,Lesson 307,Lesson content,2024-10-23T19:07:12
308,85,Lesson 308,Lesson content,2024-01-18T16:53:50
309,155,Lesson 309,Lesson content,2024-08-18T07:57:18
310,19,Lesson 310,Lesson content,2024-03-08T08:38:57
311,23,Lesson 311,Lesson content,2024-05-10T07:07:17
312,115,Lesson 312,Lesson content,2024-01-25T13:16:14
313,50,Lesson 313,Lesson content,2024-02-16T21:25:46
314,179,Lesson 314,Lesson content,2024-04-16T08:52:16
315,43,Lesson 315,Lesson content,2024-02-24T20:25:20
316,99,Lesson 316,Lesson content,2024-10-21T04:52:42
317,104,Lesson 317,Lesson content,2024-06-10T05:31:07
318,116,Lesson 318,Lesson content,2024-03-06T06:20:50
319,51,Lesson 319,Lesson content,2024-09-27T09:56:49
320,106,Lesson 320,Lesson content,2024-05-23T15:58:21
321,112,Lesson 321,Lesson content,2024-08-02T22:08:02
322,197,Lesson 322,Lesson content,2024-03-05T01:58:06
323,169,Lesson 323,Lesson content,2024-06-19T08:37:07
324,72,Lesson 324,Lesson content,2024-04-04T14:55:56
325,139,Lesson 325,Lesson content,2024-12-25T11:55:16
326,80,Lesson 326,Lesson content,2024-08-14T00:30:03
327,180,Lesson 327,Lesson content,2024-01-16T19:20:28
328,151,Lesson 328,Lesson content,2024-02-21T19:06:24
329,49,Lesson 329,Lesson content,2024-02-08T19:46:04
330,166,Lesson 330,Lesson content,2024-11-03T05:08:30
331,47,Lesson 331,Lesson content,2024-11-25T02:01:48
332,72,Lesson 332,Lesson content,2024-09-02T12:28:51
333,7,Lesson 333,Lesson content,2024-08-25T20:22:06
334,66,Lesson 334,Lesson content,2024-05-26T01:47:43
335,77,Lesson 335,Lesson content,2024-10-29T00:19:54
336,62,Lesson 336,Lesson content,2024-03-02T06:22:14
337,157,Lesson 337,Lesson content,2024-01-07T01:41:06
338,38,Lesson 338,Lesson content,2024-12-07T14:43:02
339,125,Lesson 339,Lesson content,2024-07-08T02:51:57
340,84,Lesson 340,Lesson content,2024-02-01T08:23:21
341,161,Lesson 341,Lesson content,2024-01-03T11:10:56
342,29,Lesson 342,Lesson content,2024-01-03T19:19:57
343,114,Lesson 343,Lesson content,2024-03-10T16:14:56
344,79,Lesson 344,Lesson content,2024-12-25T16:13:19
345,23,Lesson 345,Lesson content,2024-02-04T14:51:23
346,106,Lesson 346,Lesson content,2024-10-01T11:18:21
347,131,Lesson 347,Lesson content,2024-09-10T02:48:15
348,101,Lesson 348,Lesson content,2024-08-18T13:58:10
349,173,Lesson 349,Lesson content,2024-12-10T10:38:53
350,8,Lesson 350,Lesson content,2024-04-20T04:34:10
351,86,Lesson 351,Lesson content,2024-06-10T15:28:20
352,117,Lesson 352,Lesson content,2024-09-26T07:55:16
353,29,Lesson 353,Lesson content,2024-11-09T13:37:24
354,2,Lesson 354,Lesson content,2024-11-03T16:13:07
355,113,Lesson 355,Lesson content,2024-10-27T00:48:22
356,178,Lesson 356,Lesson content,2024-07-03T20:45:28
357,65,Lesson 357,Lesson content,2024-09-25T21:14:50
358,108,Lesson 358,Lesson content,2024-02-19T06:43:23
359,20,Lesson 359,Lesson content,2024-03-21T01:33:09
360,180,Lesson 360,Lesson content,2024-02-25T13:40:31
361,37,Lesson 361,Lesson content,2024-09-05T11:36:28
362,72,Lesson 362,Lesson content,2024-04-15T05:26:04
363,27,Lesson 363,Lesson content,2024-07-22T03:31:22
364,175,Lesson 364,Lesson content,2024-06-23T22:12:38
365,123,Lesson 365,Lesson content,2024-06-09T00:24:37
366,134,Lesson 366,Lesson content,2024-04-02T22:00:23
367,188,Lesson 367,Lesson content,2024-12-30T07:37:44
368,45,Lesson 368,Lesson content,2024-03-08T18:54:50
369,172,Lesson 369,Lesson content,2024-08-25T02:37:35
370,83,Lesson 370,Lesson content,2024-09-25T14:51:53
371,146,Lesson 371,Lesson content,2024-01-15T14:39:18
372,120,Lesson 372,Lesson content,2024-08-19T13:39:27
373,65,Lesson 373,Lesson content,2024-03-10T21:43:33
374,25,Lesson 374,Lesson content,2024-10-05T12:46:36
375,27,Lesson 375,Lesson content,2024-07-13T03:17:25
376,135,Lesson 376,Lesson content,2024-08-25T16:43:03
377,172,Lesson 377,Lesson content,2024-02-04T04:25:01
378,106,Lesson 378,Lesson content,2024-08-31T13:50:59
379,157,Lesson 379,Lesson content,2024-11-16T23:23:07
380,44,Lesson 380,Lesson content,2024-10-30T22:12:09
381,107,Lesson 381,Lesson content,2024-04-26T23:23:07
382,36,Lesson 382,Lesson content,2024-05-15T02:13:48
383,147,Lesson 383,Lesson content,2024-06-11T15:22:02
384,6,Lesson 384,Lesson content,2024-01-02T18:35:45
385,153,Lesson 385,Lesson content,2024-08-04T14:14:15
386,159,Lesson 386,Lesson content,2024-04-01T12:18:53
387,9,Lesson 387,Lesson content,2024-03-15T12:39:51
388,165,Lesson 388,Lesson content,2024-02-15T15:15:08
389,155,Lesson 389,Lesson content,2024-07-24T21:48:46
390,13,Lesson 390,Lesson content,2024-02-07T03:50:17
391,41,Lesson 391,Lesson content,2024-08-28T08:45:40
392,128,Lesson 392,Lesson content,2024-05-20T13:09:52
393,66,Lesson 393,Lesson content,2024-12-01T01:14:10
394,85,Lesson 394,Lesson content,2024-10-22T14:13:45
395,24,Lesson 395,Lesson content,2024-07-28T14:34:52
396,44,Lesson 396,Lesson content,2024-07-16T02:37:21
397,106,Lesson 397,Lesson content,2024-03-26T03:48:06
398,98,Lesson 398,Lesson content,2024-06-29T06:48:24
399,60,Lesson 399,Lesson content,2024-10-26T04:00:28
400,9,Lesson 400,Lesson content,2024-08-31T07:04:11
401,130,Lesson 401,Lesson content,2024-09-13T01:22:28
402,56,Lesson 402,Lesson content,2024-03-21T19:42:49
403,158,Lesson 403,Lesson content,2024-04-17T08:28:57
404,22,Lesson 404,Lesson content,2024-01-21T14:38:20
405,81,Lesson 405,Lesson content,2024-03-16T05:35:30
406,100,Lesson 406,Lesson content,2024-02-13T18:14:43
407,13,Lesson 407,Lesson content,2024-11-05T08:58:15
408,71,Lesson 408,Lesson content,2024-02-27T22:48:25
409,16,Lesson 409,Lesson content,2024-09-23T02:56:04
410,45,Lesson 410,Lesson content,2024-11-23T16:36:55
411,65,Lesson 411,Lesson content,2024-12-19T23:39:00
412,139,Lesson 412,Lesson content,2024-07-03T05:50:53
413,70,Lesson 413,Lesson content,2024-07-12T05:10:27
414,148,Lesson 414,Lesson content,2024-03-09T11:27:25
415,99,Lesson 415,Lesson content,2024-03-03T01:04:02
416,191,Lesson 416,Lesson content,2024-09-17T06:10:55
417,101,Lesson 417,Lesson content,2024-12-24T07:56:09
418,105,Lesson 418,Lesson content,2024-01-17T17:51:59
419,140,Lesson 419,Lesson content,2024-01-21T23:34:25
420,190,Lesson 420,Lesson content,2024-09-07T10:32:19
421,94,Lesson 421,Lesson content,2024-05-21T10:31:31
422,42,Lesson 422,Lesson content,2024-04-20T16:59:38
423,83,Lesson 423,Lesson content,2024-03-22T09:31:05
424,197,Lesson 424,Lesson content,2024-06-17T19:26:00
425,186,Lesson 425,Lesson content,2024-04-07T15:02:52
426,133,Lesson 426,Lesson content,2024-05-09T19:51:06
427,105,Lesson 427,Lesson content,2024-08-27T13:10:22
428,155,Lesson 428,Lesson content,2024-11-08T16:34:34
429,28,Lesson 429,Lesson content,2024-12-11T16:08:35
430,26,Lesson 430,Lesson content,2024-10-21T12:52:30
431,116,Lesson 431,Lesson content,2024-06-24T23:38:31
432,49,Lesson 432,Lesson content,2024-01-17T19:44:53
433,149,Lesson 433,Lesson content,2024-02-10T13:16:30
434,1,Lesson 434,Lesson content,2024-10-14T13:11:08
435,92,Lesson 435,Lesson content,2024-01-21T08:55:50
436,58,Lesson 436,Lesson content,2024-12-25T04:19:57
437,79,Lesson 437,Lesson content,2024-07-27T16:33:51
438,183,Lesson 438,Lesson content,2024-03-09T07:23:28
439,81,Lesson 439,Lesson content,2024-03-02T09:05:30
440,26,Lesson 440,Lesson content,2024-11-01T01:18:58
441,153,Lesson 441,Lesson content,2024-01-12T06:54:27
442,77,Lesson 442,Lesson content,2024-07-07T09:05:59
443,161,Lesson 443,Lesson content,2024-07-18T23:15:01
444,72,Lesson 444,Lesson content,2024-02-15T01:48:18
445,69,Lesson 445,Lesson content,2024-01-28T12:27:30
446,6,Lesson 446,Lesson content,2024-12-13T14:44:33
447,23,Lesson 447,Lesson content,2024-04-01T09:09:12
448,158,Lesson 448,Lesson content,2024-10-07T03:57:50
449,54,Lesson 449,Lesson content,2024-06-21T18:01:52
450,87,Lesson 450,Lesson content,2024-08-18T04:25:35
451,11,Lesson 451,Lesson content,2024-08-13T03:46:17
452,159,Lesson 452,Lesson content,2024-05-06T14:16:55
453,134,Lesson 453,Lesson content,2024-06-11T17:58:50
454,11,Lesson 454,Lesson content,2024-03-18T04:29:50
455,77,Lesson 455,Lesson content,2024-10-17T03:21:11
456,12,Lesson 456,Lesson content,2024-09-19T20:43:22
457,194,Lesson 457,Lesson content,2024-12-14T21:26:27
458,53,Lesson 458,Lesson content,2024-05-06T11:36:13
459,99,Lesson 459,Lesson content,2024-03-30T08:20:41
460,36,Lesson 460,Lesson content,2024-10-29T12:34:33
461,145,Lesson 461,Lesson content,2024-02-12T18:30:45
462,28,Lesson 462,Lesson content,2024-05-06T15:46:21
463,150,Lesson 463,Lesson content,2024-03-29T11:04:57
464,102,Lesson 464,Lesson content,2024-02-08T02:01:26
465,7,Lesson 465,Lesson content,2024-04-02T02:06:11
