assessment_id,course_id,title,max_score,created_at
174,20,Assessment 174,25,2024-02-10 23:01:00
175,8,Assessment 175,50,2024-04-09 06:13:00
176,13,Assessment 176,100,2024-02-21 01:42:00
177,41,Assessment 177,25,2024-03-05 17:08:00
178,48,Assessment 178,40,2024-02-19 16:16:00
179,46,Assessment 179,25,2024-02-20 03:50:00
180,43,Assessment 180,30,2024-02-28 02:08:00
181,7,Assessment 181,100,2024-02-06 01:18:00
182,25,Assessment 182,50,2024-04-30 00:17:00
183,30,Assessment 183,80,2024-03-16 08:19:00
184,20,Assessment 184,25,2024-02-29 15:29:00
185,41,Assessment 185,25,2024-01-06 04:48:00
186,13,Assessment 186,80,2024-04-27 04:58:00
187,49,Assessment 187,50,2024-04-29 06:06:00
188,27,Assessment 188,20,2024-03-28 00:00:00
189,16,Assessment 189,25,2024-03-12 10:57:00
190,40,Assessment 190,50,2024-01-09 15:14:00
191,39,Assessment 191,25,2024-02-20 06:35:00
192,3,Assessment 192,40,2024-01-01 09:56:00
193,4,Assessment 193,30,2024-03-28 20:23:00
194,24,Assessment 194,40,2024-01-17 08:19:00
195,18,Assessment 195,100,2024-02-23 17:59:00
196,48,Assessment 196,20,2024-03-28 06:41:00
197,2,Assessment 197,80,2024-02-20 17:57:00
198,10,Assessment 198,20,2024-01-19 10:41:00
199,22,Assessment 199,50,2024-04-09 00:12:00
200,13,Assessment 200,25,2024-01-19 09:25:00
201,22,Assessment 201,40,2024-01-26 23:31:00
202,47,Assessment 202,40,2024-03-05 23:40:00
203,25,Assessment 203,25,2024-04-29 21:33:00
204,23,Assessment 204,40,2024-02-15 19:19:00
205,19,Assessment 205,100,2024-01-13 10:02:00
206,42,Assessment 206,80,2024-01-21 22:44:00
207,35,Assessment 207,40,2024-01-25 01:34:00
208,20,Assessment 208,80,2024-02-26 06:21:00
209,9,Assessment 209,25,2024-01-19 09:41:00
210,34,Assessment 210,100,2024-02-16 15:32:00
211,11,Assessment 211,30,2024-02-18 23:44:00
212,39,Assessment 212,30,2024-03-30 18:16:00
213,1,Assessment 213,20,2024-02-14 09:36:00
214,17,Assessment 214,100,2024-01-05 01:36:00
215,34,Assessment 215,40,2024-02-21 15:40:00
216,9,Assessment 216,30,2024-02-05 00:46:00
217,43,Assessment 217,80,2024-04-05 20:26:00
218,23,Assessment 218,25,2024-03-28 21:08:00
219,49,Assessment 219,25,2024-03-09 00:00:00
220,18,Assessment 220,30,2024-04-04 12:52:00
221,30,Assessment 221,100,2024-03-26 07:35:00
222,4,Assessment 222,80,2024-01-05 08:42:00
223,6,Assessment 223,30,2024-04-07 03:47:00
224,46,Assessment 224,80,2024-02-25 23:49:00
225,38,Assessment 225,100,2024-03-10 22:28:00
226,46,Assessment 226,80,2024-02-16 04:38:00
227,27,Assessment 227,100,2024-04-30 08:37:00
228,45,Assessment 228,25,2024-02-22 20:14:00
229,37,Assessment 229,40,2024-04-10 07:32:00
230,49,Assessment 230,80,2024-03-15 12:17:00
231,6,Assessment 231,80,2024-02-20 03:23:00
232,22,Assessment 232,25,2024-01-26 07:54:00
233,48,Assessment 233,25,2024-03-29 03:23:00
234,43,Assessment 234,40,2024-03-21 13:19:00
235,16,Assessment 235,40,2024-04-19 08:01:00
236,17,Assessment 236,80,2024-02-15 06:08:00
237,46,Assessment 237,80,2024-03-02 04:33:00
238,44,Assessment 238,80,2024-03-09 06:39:00
239,47,Assessment 239,50,2024-04-20 14:35:00
240,3,Assessment 240,80,2024-03-13 13:27:00
241,33,Assessment 241,30,2024-01-21 11:07:00
242,6,Assessment 242,50,2024-03-04 15:54:00
243,4,Assessment 243,25,2024-04-10 22:59:00
244,19,Assessment 244,40,2024-03-14 07:38:00
245,6,Assessment 245,30,2024-03-14 20:52:00
246,21,Assessment 246,80,2024-04-23 15:32:00
247,19,Assessment 247,25,2024-04-07 13:59:00
248,4,Assessment 248,25,2024-02-08 13:17:00
249,23,Assessment 249,80,2024-01-18 18:00:00
250,8,Assessment 250,100,2024-03-11 21:40:00
251,12,Assessment 251,100,2024-03-03 20:08:00
252,12,Assessment 252,40,2024-01-25 01:51:00
253,29,Assessment 253,50,2024-04-12 12:08:00
254,15,Assessment 254,80,2024-02-18 19:53:00
255,27,Assessment 255,50,2024-01-20 10:45:00
256,47,Assessment 256,30,2024-04-19 05:48:00
257,34,Assessment 257,50,2024-04-22 03:38:00
258,9,Assessment 258,30,2024-01-19 23:12:00
259,19,Assessment 259,40,2024-01-15 23:40:00
260,4,Assessment 260,80,2024-03-13 23:38:00
261,18,Assessment 261,25,2024-04-22 01:37:00
262,39,Assessment 262,100,2024-02-07 17:19:00
263,36,Assessment 263,80,2024-04-01 22:21:00
264,39,Assessment 264,30,2024-04-14 01:29:00
265,31,Assessment 265,50,2024-04-16 13:12:00
266,4,Assessment 266,25,2024-04-19 23:52:00
267,29,Assessment 267,100,2024-02-13 12:50:00
268,33,Assessment 268,50,2024-04-06 04:14:00
269,29,Assessment 269,40,2024-02-13 19:23:00
270,13,Assessment 270,40,2024-04-16 03:40:00
271,10,Assessment 271,30,2024-04-04 18:26:00
272,25,Assessment 272,20,2024-03-31 11:31:00
273,26,Assessment 273,25,2024-03-09 05:04:00
274,22,Assessment 274,80,2024-04-04 02:16:00
275,21,Assessment 275,40,2024-01-10 00:45:00
276,36,Assessment 276,40,2024-01-01 02:34:00
277,7,Assessment 277,30,2024-04-16 23:52:00
278,43,Assessment 278,30,2024-04-16 13:28:00
279,47,Assessment 279,80,2024-04-20 05:08:00
280,24,Assessment 280,100,2024-02-07 20:20:00
281,33,Assessment 281,20,2024-02-24 03:50:00
282,12,Assessment 282,50,2024-01-27 13:55:00
283,35,Assessment 283,100,2024-02-29 10:51:00
284,15,Assessment 284,100,2024-01-18 08:57:00
285,33,Assessment 285,100,2024-03-03 00:47:00
286,31,Assessment 286,80,2024-02-04 07:37:00
287,35,Assessment 287,80,2024-01-31 07:49:00
288,36,Assessment 288,80,2024-03-18 02:37:00
289,4,Assessment 289,20,2024-04-30 20:23:00
290,16,Assessment 290,100,2024-04-28 10:10:00
291,18,Assessment 291,25,2024-02-10 12:41:00
292,12,Assessment 292,100,2024-02-10 03:32:00
293,19,Assessment 293,50,2024-01-26 23:22:00
294,15,Assessment 294,100,2024-03-05 21:08:00
295,47,Assessment 295,100,2024-04-06 09:20:00
296,4,Assessment 296,30,2024-02-19 19:33:00
297,36,Assessment 297,100,2024-03-21 19:41:00
298,50,Assessment 298,30,2024-03-16 04:36:00
299,1,Assessment 299,40,2024-04-14 18:43:00
300,29,Assessment 300,20,2024-03-18 18:27:00
301,24,Assessment 301,30,2024-02-19 12:08:00
302,6,Assessment 302,25,2024-03-17 23:00:00
303,26,Assessment 303,50,2024-03-24 16:00:00
304,24,Assessment 304,30,2024-04-29 23:18:00
305,23,Assessment 305,25,2024-04-22 22:23:00
306,9,Assessment 306,30,2024-03-07 11:44:00
307,6,Assessment 307,25,2024-01-14 07:02:00
308,46,Assessment 308,100,2024-03-11 19:30:00
309,36,Assessment 309,20,2024-03-19 20:48:00
310,31,Assessment 310,50,2024-04-15 11:55:00
311,17,Assessment 311,80,2024-02-15 00:31:00
312,38,Assessment 312,30,2024-03-02 09:28:00
313,39,Assessment 313,100,2024-01-15 08:45:00
314,50,Assessment 314,100,2024-04-17 12:02:00
315,42,Assessment 315,25,2024-01-18 23:25:00
316,5,Assessment 316,40,2024-04-28 16:46:00
317,12,Assessment 317,80,2024-04-10 01:37:00
318,13,Assessment 318,50,2024-04-16 03:54:00
319,4,Assessment 319,30,2024-03-22 23:00:00
320,9,Assessment 320,30,2024-02-29 18:48:00
321,35,Assessment 321,20,2024-03-03 22:14:00
322,25,Assessment 322,25,2024-01-03 16:39:00
323,19,Assessment 323,30,2024-02-28 05:39:00
324,41,Assessment 324,50,2024-01-20 08:40:00
325,28,Assessment 325,50,2024-01-15 06:19:00
326,44,Assessment 326,20,2024-03-13 07:01:00
327,5,Assessment 327,30,2024-03-02 22:18:00
328,37,Assessment 328,30,2024-04-20 04:14:00
329,9,Assessment 329,20,2024-02-25 16:20:00
330,9,Assessment 330,80,2024-01-26 22:55:00
331,26,Assessment 331,50,2024-01-13 14:58:00
332,17,Assessment 332,50,2024-01-27 08:36:00
333,12,Assessment 333,20,2024-04-13 05:12:00
334,45,Assessment 334,20,2024-03-25 05:49:00
335,36,Assessment 335,30,2024-01-22 05:45:00
336,1,Assessment 336,20,2024-03-17 14:46:00
337,19,Assessment 337,20,2024-04-03 05:06:00
338,38,Assessment 338,40,2024-02-14 16:52:00
339,31,Assessment 339,50,2024-01-20 16:38:00
340,35,Assessment 340,100,2024-01-10 02:57:00
341,12,Assessment 341,80,2024-01-13 23:24:00
342,7,Assessment 342,50,2024-03-19 16:45:00
343,45,Assessment 343,80,2024-03-26 16:50:00
344,7,Assessment 344,25,2024-01-10 14:52:00
345,49,Assessment 345,30,2024-02-08 16:18:00
346,18,Assessment 346,50,2024-04-04 11:10:00
347,18,Assessment 347,50,2024-03-12 11:10:00
348,15,Assessment 348,80,2024-03-31 14:12:00
349,12,Assessment 349,30,2024-01-19 13:10:00
350,43,Assessment 350,100,2024-03-10 13:52:00
351,18,Assessment 351,25,2024-04-13 03:47:00
352,39,Assessment 352,100,2024-02-06 21:29:00
353,44,Assessment 353,100,2024-02-25 10:33:00
354,46,Assessment 354,20,2024-02-26 11:51:00
355,36,Assessment 355,30,2024-03-16 06:23:00
356,4,Assessment 356,50,2024-01-30 13:16:00
357,3,Assessment 357,25,2024-01-02 18:29:00
358,28,Assessment 358,50,2024-04-13 07:53:00
359,28,Assessment 359,100,2024-04-15 07:36:00
360,43,Assessment 360,80,2024-02-20 19:38:00
361,17,Assessment 361,30,2024-04-23 08:10:00
362,24,Assessment 362,30,2024-02-12 13:56:00
363,22,Assessment 363,20,2024-03-17 03:30:00
364,15,Assessment 364,40,2024-01-06 13:07:00
365,28,Assessment 365,100,2024-01-17 02:10:00
366,49,Assessment 366,30,2024-02-03 18:39:00
367,26,Assessment 367,25,2024-03-01 03:01:00
368,13,Assessment 368,20,2024-01-29 12:52:00
369,8,Assessment 369,40,2024-03-17 03:06:00
370,50,Assessment 370,30,2024-01-18 21:27:00
371,4,Assessment 371,100,2024-01-02 02:03:00
372,34,Assessment 372,20,2024-01-03 01:32:00
373,37,Assessment 373,40,2024-01-29 00:46:00
374,38,Assessment 374,40,2024-03-30 11:41:00
375,27,Assessment 375,30,2024-03-07 16:46:00
376,2,Assessment 376,20,2024-01-08 06:12:00
377,17,Assessment 377,30,2024-01-29 08:42:00
378,39,Assessment 378,100,2024-03-10 09:46:00
379,34,Assessment 379,50,2024-04-30 14:05:00
380,37,Assessment 380,100,2024-02-10 10:23:00
381,39,Assessment 381,50,2024-01-07 21:27:00
382,31,Assessment 382,20,2024-04-06 16:59:00
383,33,Assessment 383,20,2024-01-05 14:13:00
384,4,Assessment 384,50,2024-02-13 11:05:00
385,23,Assessment 385,50,2024-04-25 04:36:00
386,31,Assessment 386,40,2024-01-04 11:08:00
387,22,Assessment 387,40,2024-04-05 04:50:00
388,24,Assessment 388,50,2024-01-11 02:48:00
389,48,Assessment 389,100,2024-01-20 07:04:00
390,15,Assessment 390,100,2024-03-27 15:52:00
391,33,Assessment 391,25,2024-02-15 22:37:00
392,6,Assessment 392,100,2024-02-07 22:18:00
393,3,Assessment 393,80,2024-01-08 19:20:00
394,20,Assessment 394,25,2024-02-16 09:08:00
395,11,Assessment 395,40,2024-03-26 23:54:00
396,45,Assessment 396,40,2024-04-30 07:30:00
397,10,Assessment 397,25,2024-01-24 20:37:00
398,26,Assessment 398,50,2024-02-15 08:55:00
399,23,Assessment 399,50,2024-02-27 10:17:00
400,44,Assessment 400,100,2024-04-20 07:28:00
401,14,Assessment 401,80,2024-04-16 05:08:00
402,35,Assessment 402,100,2024-03-31 16:24:00
403,41,Assessment 403,100,2024-01-12 04:29:00
404,1,Assessment 404,40,2024-03-22 07:13:00
405,4,Assessment 405,40,2024-04-05 03:43:00
406,3,Assessment 406,100,2024-03-20 21:40:00
407,7,Assessment 407,40,2024-02-22 08:33:00
408,11,Assessment 408,25,2024-03-18 22:03:00
409,25,Assessment 409,30,2024-04-18 08:02:00
410,19,Assessment 410,100,2024-01-31 09:55:00
411,16,Assessment 411,40,2024-03-14 18:19:00
412,39,Assessment 412,30,2024-01-01 14:54:00
413,38,Assessment 413,40,2024-01-06 23:21:00
414,30,Assessment 414,50,2024-03-14 19:59:00
415,44,Assessment 415,100,2024-03-14 17:31:00
416,11,Assessment 416,20,2024-04-08 01:29:00
417,23,Assessment 417,50,2024-03-21 18:12:00
418,17,Assessment 418,80,2024-04-17 01:35:00
419,6,Assessment 419,50,2024-02-17 13:07:00
420,39,Assessment 420,25,2024-02-15 07:33:00
421,6,Assessment 421,80,2024-03-31 08:41:00
422,12,Assessment 422,80,2024-04-06 03:02:00
423,14,Assessment 423,40,2024-01-04 16:35:00
424,1,Assessment 424,25,2024-02-21 00:48:00
425,30,Assessment 425,30,2024-02-20 09:19:00
426,40,Assessment 426,100,2024-02-18 18:27:00
427,15,Assessment 427,80,2024-03-20 18:51:00
428,32,Assessment 428,25,2024-02-14 09:16:00
429,28,Assessment 429,20,2024-04-09 19:08:00
430,35,Assessment 430,20,2024-02-14 11:44:00
431,33,Assessment 431,40,2024-04-18 21:07:00
432,31,Assessment 432,30,2024-04-10 07:03:00
433,45,Assessment 433,40,2024-03-06 00:38:00
434,36,Assessment 434,25,2024-04-23 21:03:00
435,30,Assessment 435,100,2024-02-20 04:27:00
436,2,Assessment 436,80,2024-01-13 11:11:00
437,24,Assessment 437,100,2024-03-16 21:24:00
438,37,Assessment 438,50,2024-02-20 20:34:00
439,22,Assessment 439,50,2024-04-22 21:06:00
440,32,Assessment 440,100,2024-03-25 20:54:00
441,4,Assessment 441,30,2024-02-10 10:16:00
442,13,Assessment 442,25,2024-01-17 13:31:00
443,49,Assessment 443,80,2024-01-31 19:29:00
444,5,Assessment 444,100,2024-04-16 05:55:00
445,39,Assessment 445,20,2024-01-01 20:11:00
446,41,Assessment 446,30,2024-04-23 13:55:00
447,28,Assessment 447,40,2024-02-27 02:47:00
448,11,Assessment 448,80,2024-03-12 12:17:00
449,2,Assessment 449,20,2024-03-22 08:41:00
450,26,Assessment 450,50,2024-01-05 22:48:00
451,23,Assessment 451,80,2024-01-26 11:57:00
452,39,Assessment 452,100,2024-03-25 10:19:00
453,9,Assessment 453,100,2024-03-19 23:32:00
454,19,Assessment 454,20,2024-01-05 19:30:00
455,17,Assessment 455,50,2024-03-02 21:11:00
456,5,Assessment 456,40,2024-03-01 22:05:00
457,20,Assessment 457,40,2024-04-28 22:11:00
458,12,Assessment 458,25,2024-03-26 22:24:00
459,37,Assessment 459,20,2024-02-02 22:50:00
460,46,Assessment 460,20,2024-03-05 17:03:00
461,28,Assessment 461,80,2024-04-09 09:22:00
462,6,Assessment 462,50,2024-02-08 03:36:00
463,45,Assessment 463,50,2024-04-26 07:02:00
464,24,Assessment 464,50,2024-01-31 23:28:00
465,45,Assessment 465,20,2024-03-11 18:45:00
466,22,Assessment 466,40,2024-01-20 05:43:00
467,9,Assessment 467,20,2024-04-25 02:02:00
468,11,Assessment 468,25,2024-03-18 23:00:00
469,39,Assessment 469,50,2024-01-06 01:11:00
470,41,Assessment 470,100,2024-01-13 11:25:00
471,50,Assessment 471,80,2024-01-15 03:46:00
472,7,Assessment 472,25,2024-02-25 06:57:00
473,34,Assessment 473,30,2024-04-18 06:53:00
474,32,Assessment 474,20,2024-03-15 09:47:00
475,4,Assessment 475,20,2024-04-11 01:07:00
476,14,Assessment 476,80,2024-03-24 10:41:00
477,46,Assessment 477,100,2024-03-07 05:30:00
478,3,Assessment 478,80,2024-03-11 16:25:00
479,14,Assessment 479,40,2024-02-16 14:39:00
480,36,Assessment 480,50,2024-02-28 21:17:00
481,44,Assessment 481,100,2024-03-18 03:47:00
482,10,Assessment 482,40,2024-03-03 14:18:00
483,19,Assessment 483,40,2024-03-14 23:01:00
484,10,Assessment 484,100,2024-02-24 02:18:00
485,11,Assessment 485,100,2024-02-11 05:41:00
486,16,Assessment 486,25,2024-02-19 12:58:00
487,45,Assessment 487,100,2024-02-05 20:52:00
488,31,Assessment 488,25,2024-01-01 13:51:00
489,46,Assessment 489,30,2024-02-27 19:03:00
490,22,Assessment 490,50,2024-03-11 17:37:00
491,30,Assessment 491,20,2024-01-30 02:02:00
492,35,Assessment 492,40,2024-02-15 14:48:00
493,19,Assessment 493,40,2024-03-18 07:34:00
494,42,Assessment 494,20,2024-02-24 08:18:00
495,22,Assessment 495,25,2024-01-02 11:22:00
496,41,Assessment 496,50,2024-01-26 19:43:00
497,31,Assessment 497,20,2024-04-30 13:47:00
498,34,Assessment 498,20,2024-02-04 22:08:00
499,40,Assessment 499,100,2024-01-28 02:01:00
500,50,Assessment 500,25,2024-02-13 11:32:00
