activity_id,user_id,lesson_id,activity_type,activity_time
208,6386,1528,view,2024-08-15T05:20:04
209,7398,1175,view,2024-11-30T05:08:11
210,843,685,view,2024-11-09T05:21:53
211,3837,1722,view,2024-08-16T14:26:24
212,8905,326,view,2024-09-01T21:42:12
213,8419,688,complete,2024-12-15T05:52:52
214,2617,1713,view,2024-04-26T17:33:50
215,1606,237,view,2024-01-05T09:46:21
216,3832,1190,view,2024-03-24T14:06:12
217,2633,533,view,2024-06-02T13:30:11
218,8959,1369,view,2024-11-14T17:06:00
219,4872,1945,view,2024-08-10T09:33:15
220,6747,1242,view,2024-04-11T20:28:55
221,6643,475,view,2024-07-15T08:47:10
222,5592,1949,view,2024-11-24T17:46:14
223,8944,854,view,2024-09-15T05:43:30
224,8714,1193,view,2024-02-01T00:56:39
225,5004,594,view,2024-09-16T08:03:48
226,7325,1021,view,2024-02-12T15:45:28
227,9887,1688,view,2024-03-11T11:54:29
228,8454,1807,complete,2024-09-06T08:09:49
229,9991,1792,view,2024-06-09T15:08:17
230,8693,646,view,2024-09-29T19:55:21
231,8033,1927,view,2024-12-19T19:32:17
232,7192,379,view,2024-05-28T20:18:50
233,8019,182,complete,2024-10-06T01:53:12
234,581,950,view,2024-04-23T10:51:51
235,5270,1949,view,2024-08-08T06:17:09
236,1852,105,view,2024-06-27T17:02:41
237,5910,1081,view,2024-02-04T08:14:18
238,2140,1452,complete,2024-08-28T22:45:03
239,2193,1602,view,2024-06-08T05:27:30
240,5983,398,view,2024-06-24T08:15:53
241,2223,662,view,2024-09-18T01:41:01
242,3217,143,view,2024-01-10T22:22:28
243,4799,434,complete,2024-06-08T21:15:55
244,6279,176,view,2024-09-21T20:01:47
245,541,192,complete,2024-12-11T06:08:37
246,4333,1008,view,2024-08-01T20:55:57
247,1736,1451,view,2024-03-28T01:39:42
248,3944,269,complete,2024-03-25T20:06:33
249,7952,1835,view,2024-05-07T15:06:53
250,9808,1025,view,2024-03-26T16:49:38
251,5707,1744,view,2024-08-21T01:10:22
252,5819,1101,complete,2024-02-13T02:00:46
253,5161,972,view,2024-01-13T18:17:28
254,9020,636,view,2024-02-10T17:32:43
255,6603,614,view,2024-05-31T07:36:33
256,9157,1831,view,2024-02-11T17:22:39
257,6122,1805,view,2024-03-06T22:43:39
258,7910,722,view,2024-05-15T21:20:41
259,4720,520,view,2024-10-31T23:13:16
260,5593,907,view,2024-10-27T08:12:47
261,2106,1606,view,2024-08-09T20:08:56
262,6829,1860,view,2024-01-11T16:41:25
263,9739,1244,view,2024-02-14T02:43:20
264,9784,1712,complete,2024-06-04T20:52:21
265,7656,280,view,2024-10-28T09:30:10
266,4045,1621,view,2024-10-06T00:06:57
267,4276,1600,view,2024-04-05T21:15:39
268,28,1268,view,2024-08-08T11:13:17
269,9331,1734,complete,2024-08-21T15:36:58
270,2948,729,view,2024-04-15T16:14:11
271,7906,973,view,2024-10-11T00:58:14
272,5875,1255,view,2024-08-15T05:32:17
273,2039,1809,complete,2024-01-14T03:51:10
274,6964,271,view,2024-10-22T16:56:08
275,5897,1805,view,2024-10-19T23:03:26
276,1810,1910,view,2024-02-01T13:48:23
277,8898,1488,view,2024-03-16T14:37:05
278,1704,1160,view,2024-03-28T22:24:01
279,3094,550,view,2024-03-30T22:53:25
280,7269,649,view,2024-04-15T16:51:29
281,3248,1398,view,2024-04-15T14:15:44
282,272,1347,view,2024-03-24T16:05:06
283,5169,1320,view,2024-07-03T22:51:36
284,9570,1851,view,2024-12-22T09:02:31
285,6138,1037,view,2024-09-15T14:29:04
286,7781,299,complete,2024-06-11T19:48:20
287,6719,1102,view,2024-11-19T14:16:24
288,9570,611,complete,2024-07-06T04:51:22
289,2893,1438,view,2024-09-12T01:44:24
290,1968,116,view,2024-11-06T17:32:36
291,9100,85,view,2024-03-20T15:50:34
292,4815,652,complete,2024-09-23T06:43:54
293,3806,857,view,2024-04-16T06:26:05
294,9951,430,view,2024-07-26T04:23:08
295,6498,532,view,2024-11-04T13:53:27
296,1568,824,complete,2024-02-08T23:42:38
297,8556,118,view,2024-04-19T07:16:29
298,5783,1286,view,2024-01-18T16:56:02
299,4682,700,view,2024-11-16T14:26:48
300,5397,1404,view,2024-08-06T18:49:08
301,203,983,view,2024-07-30T20:23:04
302,1932,1173,view,2024-11-05T13:54:21
303,7089,672,view,2024-09-25T11:53:55
304,8807,890,view,2024-04-13T00:47:44
305,4271,772,view,2024-02-04T09:54:48
306,5373,936,view,2024-10-09T20:54:15
307,3438,698,view,2024-01-25T02:35:36
308,1178,466,complete,2024-01-28T15:14:52
309,9512,1184,view,2024-12-01T22:09:12
310,7824,1327,view,2024-06-17T14:40:04
311,2994,1002,view,2024-07-10T16:54:26
312,9757,1844,complete,2024-08-21T05:01:23
313,2413,337,complete,2024-03-25T02:01:14
314,9126,41,view,2024-01-15T15:21:49
315,3773,732,view,2024-01-29T16:55:23
316,5796,413,view,2024-04-07T11:54:45
317,7509,843,view,2024-12-18T21:47:18
318,8458,1357,view,2024-07-30T10:12:43
319,6319,1830,view,2024-02-05T09:29:41
320,7852,1790,view,2024-02-10T06:49:44
321,508,1622,view,2024-06-04T12:31:37
322,1388,815,view,2024-01-05T01:08:21
323,4030,1905,view,2024-04-19T21:03:33
324,251,1034,view,2024-08-12T14:32:14
325,2567,708,view,2024-09-11T03:56:32
326,8678,1900,view,2024-10-02T21:11:44
327,197,1378,view,2024-08-17T06:08:00
328,1299,1985,view,2024-09-14T10:49:55
329,5486,1440,view,2024-09-12T10:09:22
330,9880,1894,view,2024-02-02T05:58:12
331,5206,289,view,2024-10-26T16:23:01
332,2197,159,view,2024-01-10T16:13:38
333,1362,747,view,2024-01-19T11:17:50
334,2662,1285,view,2024-11-25T11:51:17
335,6693,1638,view,2024-04-30T23:51:40
336,9265,325,view,2024-09-11T19:49:41
337,1945,420,view,2024-12-15T02:54:01
338,1063,777,view,2024-12-24T08:11:43
339,1230,1712,view,2024-03-03T17:45:04
340,8418,257,view,2024-12-13T01:15:15
341,2486,530,view,2024-12-20T03:04:18
342,7263,1893,complete,2024-01-16T00:16:03
343,1457,1358,complete,2024-02-28T10:58:04
344,8194,1298,view,2024-07-24T16:34:23
345,1535,1342,view,2024-08-06T04:33:12
346,8495,786,view,2024-11-18T15:33:30
347,4583,1496,view,2024-12-08T10:02:29
348,2659,1767,complete,2024-06-11T00:51:25
349,8582,827,complete,2024-11-27T08:32:51
350,6874,125,complete,2024-06-10T22:39:48
351,2560,408,complete,2024-12-25T13:21:26
352,6954,1585,view,2024-02-16T05:48:44
353,990,78,view,2024-06-05T23:24:05
354,2632,594,view,2024-12-21T17:32:22
355,5345,941,view,2024-07-30T09:09:43
356,2698,150,complete,2024-01-13T19:23:57
357,3184,1153,view,2024-10-17T11:46:10
358,740,789,view,2024-01-29T02:23:07
359,7913,1755,complete,2024-12-06T06:30:20
360,503,1549,view,2024-08-29T02:41:22
361,5682,1718,view,2024-08-21T21:06:48
362,3820,1845,view,2024-01-16T08:41:02
363,5832,943,view,2024-04-05T17:03:36
364,6853,1611,view,2024-04-23T09:25:58
365,7681,1258,complete,2024-02-26T01:42:50
366,6595,1214,view,2024-02-17T09:03:55
367,8475,642,view,2024-11-24T09:51:45
368,8381,1092,view,2024-10-25T22:12:05
369,4221,668,view,2024-03-18T21:28:05
370,3760,1694,view,2024-04-10T03:01:41
371,1815,948,view,2024-07-13T22:27:30
372,940,886,complete,2024-12-13T16:58:30
373,5032,1258,view,2024-10-15T10:38:00
374,7051,1193,view,2024-12-28T22:29:50
375,6795,882,complete,2024-05-07T19:40:56
376,3940,1644,view,2024-04-27T10:13:52
377,2662,1904,view,2024-08-02T23:09:16
378,1980,1140,view,2024-04-11T09:56:13
379,3383,721,complete,2024-12-10T22:12:22
380,8600,993,view,2024-03-01T13:25:55
381,9534,279,view,2024-01-24T06:26:10
382,9000,179,view,2024-03-22T08:57:35
383,8465,93,complete,2024-05-03T23:38:22
384,2915,570,complete,2024-03-17T16:39:48
385,1036,1230,view,2024-01-30T00:08:04
386,5263,566,view,2024-06-14T05:38:27
387,1191,426,view,2024-01-24T20:08:05
388,269,3,view,2024-09-27T01:12:54
389,2142,1766,view,2024-07-04T15:47:56
390,2154,1038,view,2024-08-07T14:36:07
391,5907,1272,view,2024-09-17T16:58:04
392,1737,871,complete,2024-02-07T08:21:14
393,1337,1004,complete,2024-07-07T14:42:41
394,4156,1505,view,2024-11-21T04:30:47
395,696,418,view,2024-12-30T18:05:05
396,1433,1347,view,2024-12-26T10:54:59
397,1384,272,view,2024-08-17T18:50:29
398,3972,104,view,2024-02-08T17:10:19
399,5044,231,view,2024-03-20T18:32:58
400,3711,836,view,2024-12-23T14:17:53
401,7269,690,view,2024-07-30T02:12:30
402,3652,1737,view,2024-05-28T09:58:00
403,8940,1971,view,2024-01-23T19:41:21
404,3180,1672,view,2024-02-01T00:08:21
405,8109,235,view,2024-05-05T19:12:15
406,2697,1795,view,2024-11-01T17:16:37
407,377,993,complete,2024-07-05T15:04:23
408,8579,1907,view,2024-02-08T09:38:50
409,4326,1641,complete,2024-11-28T03:09:36
410,4050,1382,view,2024-09-29T14:05:23
411,2423,964,view,2024-12-09T05:14:13
412,2286,1560,view,2024-02-03T13:24:11
413,4063,1462,view,2024-11-03T02:00:15
414,6391,1401,view,2024-07-11T10:30:37
415,8578,1346,view,2024-02-15T01:15:19
416,1062,566,view,2024-03-19T22:41:23
417,7412,39,view,2024-12-06T13:20:51
418,8711,1409,view,2024-02-22T12:26:59
419,7562,1659,view,2024-10-30T23:12:28
420,1101,252,view,2024-09-30T23:02:25
421,9659,747,view,2024-02-07T23:11:56
422,9985,980,view,2024-08-14T09:38:38
423,4133,1177,view,2024-09-21T19:15:27
424,4505,1374,view,2024-04-30T04:09:45
425,3650,619,view,2024-12-25T17:01:20
426,844,1641,view,2024-11-25T04:09:58
427,6968,37,view,2024-11-13T06:11:04
428,5583,1208,complete,2024-01-07T07:13:01
429,4650,1979,view,2024-02-22T13:38:06
430,6193,506,complete,2024-04-27T20:24:23
431,3143,1290,complete,2024-12-17T22:30:36
432,246,1675,view,2024-06-29T04:08:42
433,5111,1165,view,2024-09-16T19:35:46
434,6020,1275,view,2024-12-02T21:02:58
435,5968,973,view,2024-01-02T16:09:16
436,8534,101,view,2024-03-03T17:57:35
437,6211,1251,view,2024-12-28T06:48:52
438,8918,1744,complete,2024-07-21T05:47:02
439,6068,35,view,2024-08-03T18:59:25
440,2887,817,view,2024-11-07T20:32:31
441,4153,1914,view,2024-09-11T10:56:57
442,1310,182,view,2024-02-04T06:41:18
443,9672,1274,view,2024-04-22T08:44:02
444,9939,435,view,2024-02-05T17:38:52
445,7623,879,view,2024-02-16T07:18:51
446,4289,1294,view,2024-02-21T11:10:33
447,6770,705,view,2024-11-22T08:56:05
448,9338,900,view,2024-07-26T05:40:38
449,667,120,view,2024-06-27T09:41:59
450,586,247,complete,2024-11-26T12:40:53
451,354,1254,view,2024-09-02T10:40:31
452,2615,193,view,2024-04-26T03:34:16
453,7638,1823,view,2024-05-03T03:42:53
454,3098,1345,view,2024-02-23T02:17:55
455,8236,478,complete,2024-12-18T21:07:43
456,9797,546,view,2024-07-07T04:36:08
457,2896,441,view,2024-12-28T16:27:15
458,8716,1033,complete,2024-09-27T18:22:42
459,9321,141,view,2024-01-30T03:49:24
460,7256,1901,view,2024-10-27T01:13:10
461,6795,268,view,2024-12-26T22:58:21
462,8850,1136,view,2024-08-23T22:58:52
463,7844,713,view,2024-03-23T18:29:07
464,2387,158,view,2024-06-18T09:07:03
465,5446,435,view,2024-07-04T00:42:48
466,6743,600,view,2024-11-25T18:29:40
467,1863,953,view,2024-07-17T02:15:24
468,7020,253,complete,2024-05-23T02:41:28
469,777,1402,view,2024-07-09T15:08:31
470,5826,191,view,2024-05-27T19:07:02
471,1664,528,view,2024-04-24T09:32:08
472,756,1028,view,2024-11-30T01:31:02
473,4655,606,complete,2024-06-15T11:48:15
474,7533,276,view,2024-03-13T19:50:04
475,3696,1790,view,2024-08-23T00:50:18
476,303,1263,view,2024-01-28T20:44:09
477,1099,602,view,2024-04-02T18:10:11
478,7619,481,view,2024-08-03T04:39:30
479,1405,1807,view,2024-11-02T06:27:09
480,1322,488,view,2024-01-31T22:46:29
481,305,1807,complete,2024-01-15T13:36:40
482,6174,1574,view,2024-12-22T12:06:24
483,4104,676,view,2024-09-04T10:41:18
484,5541,1105,view,2024-07-12T21:58:19
485,8,1075,complete,2024-04-27T03:43:33
486,9967,1879,view,2024-08-26T17:06:15
487,1215,226,view,2024-02-13T04:26:50
488,6521,921,view,2024-09-12T09:28:29
489,698,1635,complete,2024-05-27T04:04:39
490,4002,1126,view,2024-02-17T10:11:13
491,2727,133,complete,2024-10-30T21:01:53
492,6800,75,complete,2024-08-12T07:34:43
493,1924,974,view,2024-04-21T04:12:41
494,3424,1283,view,2024-03-06T18:10:11
495,9829,1588,view,2024-04-06T21:32:31
496,430,728,view,2024-09-06T02:25:32
497,9927,1313,view,2024-02-28T22:25:44
498,5389,1115,view,2024-02-16T04:53:04
499,3154,1305,view,2024-05-15T06:52:03
500,9898,1428,view,2024-04-20T06:41:19
501,6157,676,view,2024-12-06T14:01:57
502,7069,1163,complete,2024-01-19T14:19:18
503,1221,1970,view,2024-01-30T13:37:51
504,3062,1013,view,2024-10-02T17:33:13
505,5727,296,view,2024-04-02T05:22:03
506,5951,1613,view,2024-02-02T00:02:04
507,3942,1937,view,2024-12-23T07:46:44
508,3123,755,view,2024-05-10T07:13:49
509,303,880,view,2024-03-25T13:59:47
510,7511,958,view,2024-05-08T17:46:08
511,2079,295,view,2024-01-20T23:04:29
512,3670,262,view,2024-06-08T14:28:05
513,8734,57,view,2024-08-19T18:41:26
514,6550,1802,view,2024-09-14T15:53:24
515,4784,1006,complete,2024-06-17T07:02:40
516,6887,1625,view,2024-09-14T01:15:29
517,5480,1925,view,2024-03-13T01:24:54
518,2480,1724,view,2024-05-30T21:25:06
519,3001,1543,view,2024-01-26T19:09:57
520,8511,1967,view,2024-06-06T21:02:26
521,7428,1043,complete,2024-07-31T18:29:43
522,4583,644,view,2024-04-08T08:39:21
523,9169,842,view,2024-11-12T04:24:59
524,1361,509,view,2024-05-13T17:59:04
525,3819,172,view,2024-05-10T22:19:38
526,9128,368,view,2024-03-05T22:36:35
527,2387,1810,view,2024-05-05T12:12:32
528,8956,1455,complete,2024-03-09T03:46:54
529,5007,1369,view,2024-10-21T05:54:08
530,4997,412,complete,2024-09-11T18:15:06
531,5294,1974,view,2024-07-11T22:57:36
532,8216,281,complete,2024-10-14T05:30:45
533,1026,606,complete,2024-05-01T03:00:20
534,7867,131,view,2024-12-12T23:17:20
535,1188,1737,view,2024-01-30T03:32:00
536,1008,1779,view,2024-01-01T18:47:45
537,5471,1769,view,2024-02-23T22:55:40
538,1118,460,complete,2024-09-02T19:57:20
539,8396,392,view,2024-05-21T02:03:13
540,7291,518,view,2024-04-19T21:42:40
541,8229,1863,view,2024-07-07T23:03:24
542,6774,1863,complete,2024-10-06T21:04:28
543,9045,550,view,2024-11-10T01:52:24
544,7308,698,complete,2024-01-26T05:53:11
545,634,585,view,2024-12-28T19:43:19
546,9445,505,view,2024-10-01T19:11:10
547,4515,257,view,2024-06-30T04:30:41
548,9709,596,view,2024-08-14T16:56:22
549,5860,1616,view,2024-07-29T19:17:42
550,4981,946,view,2024-08-19T22:24:25
551,8520,1754,view,2024-09-30T17:05:15
552,7524,1197,view,2024-08-26T06:59:46
553,1031,588,view,2024-04-17T03:44:06
554,2563,1428,complete,2024-07-21T04:18:36
555,8920,304,view,2024-07-23T03:59:21
556,9417,1855,complete,2024-12-21T07:29:58
557,7060,1021,view,2024-12-19T08:09:16
558,5332,566,view,2024-05-19T09:04:44
559,686,862,view,2024-06-14T09:51:04
560,3141,407,view,2024-05-31T15:02:27
561,6081,997,view,2024-08-22T18:25:57
562,2026,1438,view,2024-04-19T15:28:26
563,5649,1662,complete,2024-07-15T18:37:59
564,2380,1999,view,2024-08-09T10:46:16
565,430,890,view,2024-08-20T04:41:07
566,2808,1369,view,2024-03-26T18:59:25
567,6884,576,complete,2024-01-23T15:54:05
568,1195,1533,view,2024-01-12T21:27:01
569,8398,1135,view,2024-05-23T09:36:20
570,5723,697,view,2024-02-11T03:40:58
571,1161,868,view,2024-08-17T11:05:37
572,2847,412,view,2024-09-01T03:36:40
573,3085,529,view,2024-09-29T03:31:15
574,9583,1649,view,2024-10-10T16:27:50
575,7118,718,view,2024-05-12T07:51:46
576,3818,1788,view,2024-06-17T00:55:29
577,7061,1137,view,2024-06-24T07:31:04
578,9971,1917,view,2024-05-15T02:21:56
579,6829,1379,view,2024-12-30T16:51:39
580,5503,827,view,2024-09-14T15:24:39
581,2022,1298,complete,2024-12-22T03:11:41
582,6408,1673,view,2024-06-05T01:53:25
583,5513,949,complete,2024-03-21T20:37:54
584,6589,1385,view,2024-05-21T23:49:42
585,9044,1050,view,2024-05-21T09:18:02
586,2915,1893,view,2024-10-29T06:15:11
587,4905,1503,view,2024-07-15T01:41:24
588,3997,1884,view,2024-04-25T01:11:28
589,4556,272,view,2024-12-10T06:53:50
590,5686,364,complete,2024-02-26T13:30:20
591,3295,560,view,2024-11-26T18:46:17
592,6879,878,view,2024-03-12T13:09:40
593,8057,1879,view,2024-06-23T02:02:16
594,1579,643,view,2024-09-04T20:00:12
595,4677,1509,view,2024-10-08T07:59:58
596,8400,1900,complete,2024-02-03T13:30:41
597,1296,1721,view,2024-06-25T23:17:22
598,8858,280,complete,2024-03-01T14:36:22
599,3863,5,view,2024-05-31T08:25:08
600,89,364,view,2024-06-05T23:29:07
601,5881,578,view,2024-02-21T18:09:26
602,3825,1343,complete,2024-10-22T07:38:36
603,3190,1448,view,2024-09-10T18:13:26
604,5796,1438,view,2024-05-20T10:35:31
605,3875,1307,view,2024-06-06T07:44:46
606,417,1767,view,2024-05-22T12:17:58
607,6916,393,complete,2024-01-11T01:18:55
608,2618,553,view,2024-04-10T13:58:00
609,4532,1693,view,2024-05-28T15:46:58
610,2248,1637,view,2024-12-05T09:56:30
611,1899,1721,view,2024-01-04T02:31:06
612,7818,591,view,2024-07-04T00:28:18
613,9022,1398,view,2024-01-09T18:13:51
614,5920,1471,view,2024-09-14T14:44:50
615,4912,1438,view,2024-01-17T15:14:11
616,1243,240,view,2024-02-02T05:38:42
617,6321,1047,view,2024-04-24T04:50:25
